review_id,appid,lang,role
218565693,730,en,pilot_draft
219943456,730,en,pilot_draft
220236664,730,en,pilot_draft
220698260,730,en,pilot_draft
221965693,730,en,pilot_draft
222115139,730,en,pilot_draft
222623556,730,en,pilot_draft
222751113,730,en,pilot_draft
223328722,730,en,pilot_draft
223930131,730,en,pilot_draft
224466149,730,en,pilot_draft
224928834,730,en,pilot_draft
225310379,730,en,pilot_draft
225368240,730,en,pilot_draft
226107952,730,en,pilot_draft
226287885,730,en,pilot_draft
226558036,730,en,pilot_draft
226867003,730,en,pilot_draft
227647442,730,en,pilot_draft
227707782,730,en,pilot_draft
228759578,730,en,pilot_draft
229272232,730,en,pilot_draft
229744674,730,en,pilot_draft
230291244,730,en,pilot_draft
230828511,730,en,pilot_draft
231239287,730,en,pilot_draft
231305742,730,en,pilot_draft
231964175,730,en,pilot_draft
232022679,730,en,pilot_draft
232062443,730,en,pilot_draft
147158064,730,ja,pilot_draft
147225577,730,ja,pilot_draft
147452548,730,ja,pilot_draft
151836626,730,ja,pilot_draft
152584036,730,ja,pilot_draft
153711387,730,ja,pilot_draft
156768786,730,ja,pilot_draft
160753326,730,ja,pilot_draft
163966748,730,ja,pilot_draft
164065616,730,ja,pilot_draft
165168184,730,ja,pilot_draft
166016063,730,ja,pilot_draft
176767223,730,ja,pilot_draft
182763646,730,ja,pilot_draft
190503444,730,ja,pilot_draft
193835427,730,ja,pilot_draft
195708546,730,ja,pilot_draft
198516608,730,ja,pilot_draft
200365947,730,ja,pilot_draft
201447139,730,ja,pilot_draft
204083255,730,ja,pilot_draft
205642158,730,ja,pilot_draft
206332324,730,ja,pilot_draft
210896574,730,ja,pilot_draft
217240930,730,ja,pilot_draft
219117016,730,ja,pilot_draft
219839289,730,ja,pilot_draft
225883236,730,ja,pilot_draft
229655706,730,ja,pilot_draft
230439593,730,ja,pilot_draft
219983016,730,zh,pilot_draft
219993800,730,zh,pilot_draft
220954472,730,zh,pilot_draft
222233565,730,zh,pilot_draft
222485668,730,zh,pilot_draft
223497027,730,zh,pilot_draft
223716218,730,zh,pilot_draft
223928843,730,zh,pilot_draft
224500628,730,zh,pilot_draft
225007251,730,zh,pilot_draft
225184192,730,zh,pilot_draft
225411557,730,zh,pilot_draft
225734562,730,zh,pilot_draft
225992615,730,zh,pilot_draft
226232348,730,zh,pilot_draft
226675676,730,zh,pilot_draft
227063616,730,zh,pilot_draft
227223824,730,zh,pilot_draft
227462941,730,zh,pilot_draft
227516946,730,zh,pilot_draft
227572694,730,zh,pilot_draft
228118528,730,zh,pilot_draft
228314791,730,zh,pilot_draft
228466713,730,zh,pilot_draft
228543779,730,zh,pilot_draft
228928050,730,zh,pilot_draft
229241969,730,zh,pilot_draft
229414199,730,zh,pilot_draft
229553210,730,zh,pilot_draft
230181530,730,zh,pilot_draft
231587282,730,zh,pilot_draft
231878615,730,zh,pilot_draft
231970976,730,zh,pilot_draft
180504327,1245620,en,pilot_draft
180670949,1245620,en,pilot_draft
180707615,1245620,en,pilot_draft
182428209,1245620,en,pilot_draft
183946531,1245620,en,pilot_draft
187332712,1245620,en,pilot_draft
187502079,1245620,en,pilot_draft
187704105,1245620,en,pilot_draft
193201833,1245620,en,pilot_draft
194432373,1245620,en,pilot_draft
195647294,1245620,en,pilot_draft
196965216,1245620,en,pilot_draft
197655413,1245620,en,pilot_draft
199688176,1245620,en,pilot_draft
199717724,1245620,en,pilot_draft
203459819,1245620,en,pilot_draft
206570519,1245620,en,pilot_draft
208372626,1245620,en,pilot_draft
214548564,1245620,en,pilot_draft
216427811,1245620,en,pilot_draft
216910056,1245620,en,pilot_draft
217173418,1245620,en,pilot_draft
219301744,1245620,en,pilot_draft
