review_id,appid,reason,source,added_date
103034004,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
103065171,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
103085806,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
103118780,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
103136559,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
103281324,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
104020322,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
105087587,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
105169517,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
105611529,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
105722251,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
105753050,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
105942737,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
106320511,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
106445209,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
107511257,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
108054536,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
114385740,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
121860392,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
122670007,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
129499596,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
131239663,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
135000365,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
138524028,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
142710942,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
144152868,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
148274767,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
148846514,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
149458219,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
154722113,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
161397775,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
180832402,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
180943338,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
183650917,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
183724046,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
184708121,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
187322548,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
187820406,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
188160962,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
190896133,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
193983065,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
194103166,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
194666191,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
197235466,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
198571505,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
201228031,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
202631866,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
203014913,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
205290607,1517290,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
208968738,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
216019654,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
216809123,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
220252520,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
220468910,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
220999325,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
221059122,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
221387972,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
221526361,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
222007433,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
222179394,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
222194966,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
222210870,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
222723796,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
222818735,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
223234067,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
223293761,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
224113784,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
224319040,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
225085316,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
226121470,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
227194620,1245620,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
227574902,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
228813450,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
228848034,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
229082230,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
229142569,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
231001134,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
231173973,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
231515950,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
231778054,730,hardneg_arm,fresh_en_retrieval_v1,2026-08-17
