review_id,appid,lang,keyword_class,arm_role,source,text_len
113325729,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,25
117351025,1517290,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,52
112170291,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,87
111377556,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,133
129225482,1517290,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,29
107362414,1517290,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,20
110930605,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,101
205370805,1517290,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,111
150044131,1517290,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,86
111056495,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,545
110926475,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,356
103194739,1517290,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,103
110952728,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,146
103279939,1517290,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,106
111694222,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,129
111342051,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,197
103304003,1517290,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,62
111027839,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,29
114205161,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,643
121485847,1517290,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,111
116147540,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,461
111124538,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,308
133991208,1517290,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,87
110999836,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,845
103053441,1517290,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,99
105572864,1517290,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,39
169129892,1245620,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,141
104708289,1517290,ja,class2_tech_compat,hard_negative,fresh_ja_retrieval_v1,115
