review_id,appid,lang,keyword_class,arm_role,source,text_len
194120819,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,207
216674691,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,358
159915816,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,53
178614713,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,24
177321892,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,44
200765418,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,174
211414293,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,38
195822518,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,32
150577312,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,17
181905275,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,16
166212574,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,17
150168008,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,121
186369233,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,43
155019479,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,65
151316901,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,20
221679450,730,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,79
150772792,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,67
228863594,730,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,43
191911229,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,17
152853020,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,44
231746909,730,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,19
160805898,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,111
154450267,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,191
222932760,730,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,31
163307704,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,22
226213996,730,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,116
224830196,730,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,16
151073748,1517290,zh,class1_anticheat,hard_negative,fresh_zh_retrieval_v1,28
170055358,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,29
229477504,730,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,25
152704982,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,96
201689949,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,24
189169867,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,51
222083553,730,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,101
199988508,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,25
202506252,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,43
202580231,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,18
188062540,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,241
228242102,730,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,33
162994961,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,69
179855901,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,62
160968570,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,16
165234176,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,115
227397437,730,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,38
150399736,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,33
170552025,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,60
221118360,730,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,56
221028760,730,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,425
179156103,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,24
228726821,730,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,90
165530103,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,31
154700431,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,21
205743325,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,20
200161478,1245620,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,88
229159147,730,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,18
224770476,1517290,zh,class2_tech_compat,hard_negative,fresh_zh_retrieval_v1,42
171560578,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,27
212274083,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,62
150961652,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,36
155459484,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,77
230363345,1245620,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,32
164323759,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,33
150941809,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,20
161427319,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,64
169946510,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,51
172491546,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,22
157897886,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,35
164656865,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,17
154888120,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,29
152877516,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,98
198939683,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,27
202713652,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,39
192304416,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,60
184396590,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,69
182560034,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,30
180434172,1517290,zh,class3_price_cosmetic,hard_negative,fresh_zh_retrieval_v1,128
