review_id,appid,lang,keyword_class,arm_role,source
222723796,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
221387972,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
222007433,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
221059122,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
221526361,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
222818735,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
222194966,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
231173973,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
224113784,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
227574902,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
231001134,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
228848034,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
223234067,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
105611529,1517290,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
220252520,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
231515950,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
220999325,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
223293761,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
229082230,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
220468910,730,en,class1_anticheat,hard_negative,fresh_en_retrieval_v1
105087587,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
114385740,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
105722251,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
105753050,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
103118780,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
103085806,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
135000365,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
226121470,730,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
148846514,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
144152868,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
216809123,1245620,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
194103166,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
229142569,730,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
161397775,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
203014913,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
107511257,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
187322548,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
105169517,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
131239663,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
105942737,1517290,en,class2_tech_compat,hard_negative,fresh_en_retrieval_v1
148274767,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
106320511,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
103136559,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
103281324,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
129499596,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
142710942,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
122670007,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
231778054,730,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
149458219,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
138524028,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
180832402,1245620,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
104020322,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
222210870,730,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
103034004,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
154722113,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
205290607,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
103065171,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
121860392,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
108054536,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
194666191,1517290,en,class3_price_cosmetic,hard_negative,fresh_en_retrieval_v1
193983065,1245620,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
198571505,1245620,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
224319040,1245620,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
208968738,1245620,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
197235466,1245620,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
227194620,1245620,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
106445209,1517290,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
190896133,1245620,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
184708121,1245620,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
183650917,1517290,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
183724046,1517290,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
201228031,1517290,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
187820406,1245620,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
216019654,1245620,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
228813450,730,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
222179394,1245620,en,class4_difficulty_balance,hard_negative,fresh_en_retrieval_v1
